Tuned?,Dataset,Regressor,Hyper-param-method,Validation-method,n-splits,score-train,score-test,MAE,MSE,RMSE,MedianAE,R2,best-params,best-score, cross_val_score,target-values,predicted-target-values,time-tuning
1,maxwell,CART,OPTUNA,RepeatedKFold,3,0.30958195874886285,-0.10871639971416047,8770.07525083612,296832744.64261305,17228.8346861479,3378.978260869565,-11.0,"{'max_depth': 1, 'max_features': 0.7866321730694861}",-56372180.46871039,-88811404.38848893,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565, 6204.978260869565]",0:00:02.554015
1,maxwell,CART,OPTUNA,HoldOut,3,1.0,-0.2051525780111132,10110.153846153846,322651263.6923077,17962.496031796574,3105.0,-21.0,"{'max_depth': 17, 'max_features': 0.3200559761169189}",-16096419.3,-87246962.48651962,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[3240.0, 3850.0, 39479.0, 4150.0, 5931.0, 5787.0, 10447.0, 2330.0, 11039.0, 5279.0, 3600.0, 3600.0, 4224.0]",0:00:00.692813
1,maxwell,CART,OPTUNA,RepeatedHoldOut,3,1.0,-0.5342715669359714,11055.923076923076,410765133.7692308,20267.341556534513,5244.0,-53.0,"{'max_depth': 13, 'max_features': 0.8042271454095107}",-20696243.566666666,-73158321.14583333,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[9700.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5279.0, 4557.0, 3600.0, 11039.0]",0:00:01.186567
1,maxwell,CART,OPTUNA,Bootstrap,3,0.5294265167438293,-0.17413387048909446,9595.747252747253,314346734.1558085,17729.826117472458,6198.071428571429,-17.0,"{'max_depth': 2, 'max_features': 0.8840752670013332}",-58196235.74696946,-65074231.0689075,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[10818.07142857143, 4186.75, 10818.07142857143, 4186.75, 10818.07142857143, 4186.75, 10818.07142857143, 4186.75, 4186.75, 10818.07142857143, 4186.75, 4186.75, 4186.75]",0:00:12.470608
0,maxwell,CART,SA,,3,1.0,-0.5272953403783041,10746.692307692309,408897413.15384614,20221.211960558798,5204.0,-53.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",<bound method RegressorMixin.score of DecisionTreeRegressor(random_state=42)>,-68985076.02083333,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6816.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5100.0, 3600.0, 3600.0, 11039.0]",0:00:00.001001
1,maxwell,CART,SA,KFold,3,0.9861497513638664,-0.5373692749137935,11642.621978021976,411594472.2379278,20287.791211414016,6309.0,-54.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 0.8943422205523617, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-91818758.85099877,-91818758.85099877,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[9700.0, 4000.0, 39479.0, 796.0, 9700.0, 1436.2, 18500.0, 5787.0, 796.0, 14000.0, 5787.0, 3600.0, 8144.714285714285]",0:00:04.277538
1,maxwell,CART,SA,RepeatedKFold,3,1.0,-0.2051525780111132,10110.153846153846,322651263.6923077,17962.496031796574,3105.0,-21.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 16, 'max_features': 0.4443748695172043, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-142242253.07189545,-87246962.48651962,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[3240.0, 3850.0, 39479.0, 4150.0, 5931.0, 5787.0, 10447.0, 2330.0, 11039.0, 5279.0, 3600.0, 3600.0, 4224.0]",0:00:11.512098
1,maxwell,CART,SA,HoldOut,3,0.9873702277260623,-0.5067974628869123,10554.384615384615,403409588.46153843,20085.05883639723,4481.5,-51.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 8, 'max_features': 0.9747901753154838, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-301252466.0888889,-75592157.18321079,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[5515.5, 6742.5, 39479.0, 796.0, 7307.5, 1032.0, 14000.0, 5787.0, 796.0, 3240.0, 4557.0, 2042.5, 10204.0]",0:00:01.993279
1,maxwell,CART,SA,RepeatedHoldOut,3,1.0,-0.0673881244402248,9292.461538461539,285768070.7692308,16904.67600308361,5544.0,-7.000000000000001,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 28, 'max_features': 0.728258202785921, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-103459779.89999999,-61977977.351715684,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[10000.0, 3850.0, 3440.0, 7184.0, 10000.0, 1745.0, 14000.0, 8117.0, 7320.0, 5787.0, 14000.0, 1520.0, 8117.0]",0:00:04.260584
1,maxwell,CART,SA,Bootstrap,3,1.0,-0.5342715669359714,11055.923076923076,410765133.7692308,20267.341556534513,5244.0,-53.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 28, 'max_features': 0.9071188179412804, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-104830312.37469934,-73158321.14583333,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[9700.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5279.0, 4557.0, 3600.0, 11039.0]",0:01:02.193749
